Topic_1,Topic_2,Topic_3
0.9521351772174008,0.02378854913064322,0.024076273651955957
0.02475922947831774,0.025021432126564182,0.9502193383951181
0.023151159413451302,0.024224543027310547,0.952624297559238
0.02597688366480533,0.94236012869909,0.031662987636104624
0.023251346122135894,0.9536650720944564,0.023083581783407716
0.029437909183325277,0.9407779095034193,0.02978418131325527
0.9488090023470807,0.0257801224728264,0.025410875180092832
0.9544277534410073,0.022897444705481,0.022674801853511777
0.9393480984137271,0.03010759614285825,0.03054430544341467
0.029786580363722802,0.029461600766541092,0.9407518188697361
0.02666889911705452,0.9463407735594532,0.02699032732349219
0.02170677331468581,0.9565135066867396,0.02177971999857458
0.9521351772174008,0.02378854913064322,0.024076273651955957
0.02475922947831774,0.025021432126564182,0.9502193383951181
0.023151159413451302,0.024224543027310547,0.952624297559238
0.02597688366480533,0.94236012869909,0.031662987636104624
0.023251346122135894,0.9536650720944564,0.023083581783407716
0.029437909183325277,0.9407779095034193,0.02978418131325527
0.9488090023470807,0.0257801224728264,0.025410875180092832
0.9544277534410073,0.022897444705481,0.022674801853511777
0.9393480984137271,0.03010759614285825,0.03054430544341467
0.029786580363722802,0.029461600766541092,0.9407518188697361
0.02666889911705452,0.9463407735594532,0.02699032732349219
0.02170677331468581,0.9565135066867396,0.02177971999857458
0.9521351772174008,0.02378854913064322,0.024076273651955957
0.02475922947831774,0.025021432126564182,0.9502193383951181
0.023151159413451302,0.024224543027310547,0.952624297559238
0.02597688366480533,0.94236012869909,0.031662987636104624
0.023251346122135894,0.9536650720944564,0.023083581783407716
0.029437909183325277,0.9407779095034193,0.02978418131325527
0.9488090023470807,0.0257801224728264,0.025410875180092832
0.9544277534410073,0.022897444705481,0.022674801853511777
0.9393480984137271,0.03010759614285825,0.03054430544341467
0.029786580363722802,0.029461600766541092,0.9407518188697361
0.02666889911705452,0.9463407735594532,0.02699032732349219
0.02170677331468581,0.9565135066867396,0.02177971999857458
0.9521351772174008,0.02378854913064322,0.024076273651955957
0.02475922947831774,0.025021432126564182,0.9502193383951181
0.023151159413451302,0.024224543027310547,0.952624297559238
